                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2301,                 1.1967,                 1.2209,                0.69351,                0.53354,                0.61103,                 0.3847,                 1.2445,                 1.2357,                 1.2284,               0.066708,             3.3325e-05,             3.3325e-05
                      1,                 1.1588,                 1.0268,                 1.1787,                0.76193,                0.62809,                0.71993,                0.48977,                 1.0892,                0.92884,                 1.1096,               0.033408,             6.6325e-05,             6.6325e-05
                      2,                 1.1287,                0.96738,                 1.1647,                0.77447,                0.64981,                0.74235,                0.50817,                 1.0593,                 0.8569,                 1.0886,             0.00010731,             9.8992e-05,             9.8992e-05
                      3,                 1.1124,                0.93786,                 1.1575,                0.78473,                0.64916,                  0.748,                0.51237,                 1.0552,                0.83757,                 1.0845,               9.85e-05,               9.85e-05,               9.85e-05
                      4,                 1.1099,                0.92511,                 1.1544,                0.78755,                0.65631,                0.75172,                0.51725,                 1.0508,                0.82514,                 1.0842,               9.85e-05,               9.85e-05,               9.85e-05
                      5,                 1.1035,                0.91543,                 1.1514,                0.79157,                0.65793,                0.75414,                 0.5198,                  1.044,                0.81632,                 1.0824,                9.8e-05,                9.8e-05,                9.8e-05
                      6,                 1.0988,                0.90703,                   1.15,                0.80069,                0.65644,                0.75832,                0.52363,                 1.0411,                 0.8044,                 1.0805,               9.75e-05,               9.75e-05,               9.75e-05
                      7,                 1.0958,                0.90178,                 1.1464,                0.79787,                0.66407,                0.76075,                0.52685,                 1.0301,                0.79555,                  1.074,                9.7e-05,                9.7e-05,                9.7e-05
                      8,                 1.0899,                0.89282,                 1.1449,                0.79265,                0.66781,                0.76189,                0.52872,                  1.035,                0.79222,                 1.0768,               9.65e-05,               9.65e-05,               9.65e-05
                      9,                 1.0869,                0.89105,                 1.1437,                0.80203,                0.66537,                 0.7635,                0.53124,                 1.0271,                0.78501,                 1.0708,                9.6e-05,                9.6e-05,                9.6e-05
                     10,                  1.084,                0.88697,                 1.1434,                0.81029,                0.66215,                0.76573,                0.53374,                  1.022,                0.78101,                 1.0682,               9.55e-05,               9.55e-05,               9.55e-05
                     11,                 1.0813,                0.88012,                 1.1404,                0.80723,                0.66419,                0.76739,                0.53483,                 1.0189,                0.77571,                  1.067,                9.5e-05,                9.5e-05,                9.5e-05
                     12,                 1.0793,                0.87773,                 1.1381,                 0.8101,                0.66623,                0.76789,                0.53581,                 1.0152,                0.77191,                 1.0646,             9.4501e-05,             9.4501e-05,             9.4501e-05
